region,SOC_label,age group,Observation
North East,"Managers, directors and senior officials",Aged 24 years and under,3151
North East,"Managers, directors and senior officials",Aged 25 to 34 years,18271
North East,"Managers, directors and senior officials",Aged 35 to 49 years,44913
North East,"Managers, directors and senior officials",Aged 50 to 64 years,40347
North East,"Managers, directors and senior officials",Aged 65 years and over,5864
North East,Professional occupations,Aged 24 years and under,12769
North East,Professional occupations,Aged 25 to 34 years,56196
North East,Professional occupations,Aged 35 to 49 years,80264
North East,Professional occupations,Aged 50 to 64 years,52739
North East,Professional occupations,Aged 65 years and over,5348
North East,Associate professional and technical,Aged 24 years and under,14376
North East,Associate professional and technical,Aged 25 to 34 years,36004
North East,Associate professional and technical,Aged 35 to 49 years,48714
North East,Associate professional and technical,Aged 50 to 64 years,35923
North East,Associate professional and technical,Aged 65 years and over,3446
North East,Administrative and secretarial,Aged 24 years and under,10391
North East,Administrative and secretarial,Aged 25 to 34 years,21638
North East,Administrative and secretarial,Aged 35 to 49 years,35099
North East,Administrative and secretarial,Aged 50 to 64 years,39607
North East,Administrative and secretarial,Aged 65 years and over,4541
North East,Skilled trades,Aged 24 years and under,13546
North East,Skilled trades,Aged 25 to 34 years,24704
North East,Skilled trades,Aged 35 to 49 years,37039
North East,Skilled trades,Aged 50 to 64 years,39886
North East,Skilled trades,Aged 65 years and over,5766
North East,"Caring, leisure and other services",Aged 24 years and under,14766
North East,"Caring, leisure and other services",Aged 25 to 34 years,26539
North East,"Caring, leisure and other services",Aged 35 to 49 years,34914
North East,"Caring, leisure and other services",Aged 50 to 64 years,39604
North East,"Caring, leisure and other services",Aged 65 years and over,4300
North East,Sales and customer services,Aged 24 years and under,22309
North East,Sales and customer services,Aged 25 to 34 years,25282
North East,Sales and customer services,Aged 35 to 49 years,27392
North East,Sales and customer services,Aged 50 to 64 years,28852
North East,Sales and customer services,Aged 65 years and over,3641
North East,"Process, plant and machine operatives",Aged 24 years and under,5979
North East,"Process, plant and machine operatives",Aged 25 to 34 years,16026
North East,"Process, plant and machine operatives",Aged 35 to 49 years,29080
North East,"Process, plant and machine operatives",Aged 50 to 64 years,38263
North East,"Process, plant and machine operatives",Aged 65 years and over,4582
North East,Elementary occupations,Aged 24 years and under,22709
North East,Elementary occupations,Aged 25 to 34 years,23330
North East,Elementary occupations,Aged 35 to 49 years,32314
North East,Elementary occupations,Aged 50 to 64 years,41903
North East,Elementary occupations,Aged 65 years and over,5723
North West,"Managers, directors and senior officials",Aged 24 years and under,10445
North West,"Managers, directors and senior officials",Aged 25 to 34 years,66805
North West,"Managers, directors and senior officials",Aged 35 to 49 years,151422
North West,"Managers, directors and senior officials",Aged 50 to 64 years,133024
North West,"Managers, directors and senior officials",Aged 65 years and over,20141
North West,Professional occupations,Aged 24 years and under,40395
North West,Professional occupations,Aged 25 to 34 years,179351
North West,Professional occupations,Aged 35 to 49 years,244792
North West,Professional occupations,Aged 50 to 64 years,161570
North West,Professional occupations,Aged 65 years and over,16835
North West,Associate professional and technical,Aged 24 years and under,44413
North West,Associate professional and technical,Aged 25 to 34 years,119214
North West,Associate professional and technical,Aged 35 to 49 years,144744
North West,Associate professional and technical,Aged 50 to 64 years,103159
North West,Associate professional and technical,Aged 65 years and over,10498
North West,Administrative and secretarial,Aged 24 years and under,31959
North West,Administrative and secretarial,Aged 25 to 34 years,68575
North West,Administrative and secretarial,Aged 35 to 49 years,99302
North West,Administrative and secretarial,Aged 50 to 64 years,108675
North West,Administrative and secretarial,Aged 65 years and over,14532
North West,Skilled trades,Aged 24 years and under,38445
North West,Skilled trades,Aged 25 to 34 years,70562
North West,Skilled trades,Aged 35 to 49 years,104074
North West,Skilled trades,Aged 50 to 64 years,105156
North West,Skilled trades,Aged 65 years and over,16580
North West,"Caring, leisure and other services",Aged 24 years and under,43642
North West,"Caring, leisure and other services",Aged 25 to 34 years,75953
North West,"Caring, leisure and other services",Aged 35 to 49 years,100640
North West,"Caring, leisure and other services",Aged 50 to 64 years,102227
North West,"Caring, leisure and other services",Aged 65 years and over,12467
North West,Sales and customer services,Aged 24 years and under,67104
North West,Sales and customer services,Aged 25 to 34 years,66646
North West,Sales and customer services,Aged 35 to 49 years,68096
North West,Sales and customer services,Aged 50 to 64 years,69313
North West,Sales and customer services,Aged 65 years and over,10836
North West,"Process, plant and machine operatives",Aged 24 years and under,14220
North West,"Process, plant and machine operatives",Aged 25 to 34 years,43768
North West,"Process, plant and machine operatives",Aged 35 to 49 years,82477
North West,"Process, plant and machine operatives",Aged 50 to 64 years,99842
North West,"Process, plant and machine operatives",Aged 65 years and over,13263
North West,Elementary occupations,Aged 24 years and under,70009
North West,Elementary occupations,Aged 25 to 34 years,74945
North West,Elementary occupations,Aged 35 to 49 years,98648
North West,Elementary occupations,Aged 50 to 64 years,106833
North West,Elementary occupations,Aged 65 years and over,16149
Yorkshire & Humber,"Managers, directors and senior officials",Aged 24 years and under,7616
Yorkshire & Humber,"Managers, directors and senior officials",Aged 25 to 34 years,46450
Yorkshire & Humber,"Managers, directors and senior officials",Aged 35 to 49 years,108300
Yorkshire & Humber,"Managers, directors and senior officials",Aged 50 to 64 years,98522
Yorkshire & Humber,"Managers, directors and senior officials",Aged 65 years and over,14630
Yorkshire & Humber,Professional occupations,Aged 24 years and under,28290
Yorkshire & Humber,Professional occupations,Aged 25 to 34 years,122618
Yorkshire & Humber,Professional occupations,Aged 35 to 49 years,171041
Yorkshire & Humber,Professional occupations,Aged 50 to 64 years,111614
Yorkshire & Humber,Professional occupations,Aged 65 years and over,11590
Yorkshire & Humber,Associate professional and technical,Aged 24 years and under,34263
Yorkshire & Humber,Associate professional and technical,Aged 25 to 34 years,82728
Yorkshire & Humber,Associate professional and technical,Aged 35 to 49 years,102957
Yorkshire & Humber,Associate professional and technical,Aged 50 to 64 years,74668
Yorkshire & Humber,Associate professional and technical,Aged 65 years and over,7598
Yorkshire & Humber,Administrative and secretarial,Aged 24 years and under,22367
Yorkshire & Humber,Administrative and secretarial,Aged 25 to 34 years,46390
Yorkshire & Humber,Administrative and secretarial,Aged 35 to 49 years,68402
Yorkshire & Humber,Administrative and secretarial,Aged 50 to 64 years,75555
Yorkshire & Humber,Administrative and secretarial,Aged 65 years and over,9886
Yorkshire & Humber,Skilled trades,Aged 24 years and under,31669
Yorkshire & Humber,Skilled trades,Aged 25 to 34 years,57607
Yorkshire & Humber,Skilled trades,Aged 35 to 49 years,84104
Yorkshire & Humber,Skilled trades,Aged 50 to 64 years,86102
Yorkshire & Humber,Skilled trades,Aged 65 years and over,13309
