age group,tenure label,frequency
Aged 24 years and under,Own outright,13
Aged 24 years and under,Mortgage,68
Aged 24 years and under,Renter,710
Aged 25 to 34 years,Own outright,149
Aged 25 to 34 years,Mortgage,1445
Aged 25 to 34 years,Renter,1969
Aged 35 to 49 years,Own outright,754
Aged 35 to 49 years,Mortgage,3146
Aged 35 to 49 years,Renter,2394
Aged 50 to 64 years,Own outright,2418
Aged 50 to 64 years,Mortgage,3183
Aged 50 to 64 years,Renter,1977
Aged 65 years and over,Own outright,5277
Aged 65 years and over,Mortgage,356
Aged 65 years and over,Renter,1552
