Income band,Frequency
£0,428.1
"£1,000",146.5
"£2,000",122.2
"£3,000",125.5
"£4,000",112.6
"£5,000",172.9
"£6,000",285.3
"£7,000",254.8
"£8,000",322.6
"£9,000",478.7
"£10,000",424.1
"£11,000",551.9
"£12,000",805.1
"£13,000",872.9
"£14,000",925.2
"£15,000",1176.6
"£16,000",1101.6
"£17,000",1415.0
"£18,000",1308.2
"£19,000",1524.1
"£20,000",1448.8
"£21,000",1573.5
"£22,000",1621.7
"£23,000",1616.9
"£24,000",1689.9
"£25,000",1534.0
"£26,000",1623.7
"£27,000",1502.6
"£28,000",1709.9
"£29,000",1608.6
"£30,000",1504.4
"£31,000",1431.2
"£32,000",1385.3
"£33,000",1484.5
"£34,000",1394.6
"£35,000",1301.5
"£36,000",1268.4
"£37,000",1439.5
"£38,000",1156.1
"£39,000",1250.3
"£40,000",1242.5
"£41,000",1045.6
"£42,000",1058.7
"£43,000",754.8
"£44,000",1089.0
"£45,000",1050.8
"£46,000",889.9
"£47,000",934.8
"£48,000",873.7
"£49,000",832.3
"£50,000",773.7
"£51,000",624.0
"£52,000",539.8
"£53,000",663.6
"£54,000",582.8
"£55,000",454.6
"£56,000",485.7
"£57,000",443.7
"£58,000",548.8
"£59,000",448.7
"£60,000",438.6
"£61,000",426.1
"£62,000",373.5
"£63,000",366.6
"£64,000",380.7
"£65,000",295.9
"£66,000",312.3
"£67,000",307.6
"£68,000",233.3
"£69,000",277.0
"£70,000",327.0
"£71,000",194.3
"£72,000",191.3
"£73,000",285.8
"£74,000",193.8
"£75,000",176.4
"£76,000",120.1
"£77,000",177.9
"£78,000",202.4
"£79,000",136.1
"£80,000",175.9
"£81,000",129.0
"£82,000",130.7
"£83,000",108.3
"£84,000",159.7
"£85,000",114.9
"£86,000",95.7
"£87,000",97.0
"£88,000",76.2
"£89,000",124.7
"£90,000",122.5
"£91,000",96.6
"£92,000",68.4
"£93,000",86.7
"£94,000",69.4
"£95,000",87.2
"£96,000",40.3
"£97,000",45.7
"£98,000",51.4
"£99,000",28.2
"£100,000",1938.6
